Salgsplads;uge;vare;;oms;index_oms_stk;oms_kr;index_oms_kr;avance_kr;index_avanc_ kr;avance_perc;antal_kunder_1000;oms_pr_1000_kunde;avance_pr_1000_kunde
I alt;;;;8.907;153;82.117;144;36.401;162;44,3%;41;1.998 ;886
Plads 01;I alt;;;8.907;153;82.117;144;36.401;162;44,3%;41;1.998 ;886
Plads 01;Uge 2021-38;I alt;;2.395;137;22.350;132;10.272;149;46,0%;11;1.992 ;916
Plads 01;Uge 2021-38;57095370;KILDEVÆLD 50CL;29;45;255;45;104;44;40,8%;11;23 ;9
Plads 01;Uge 2021-38;5700380222096;Rødbeder 1,5 kg.;5;83;60;106;35;131;58,3%;11;5 ;3
Plads 01;Uge 2021-38;5700380268926;ØKO ÄM SPIDSKÅL;141;2.014;1.167;1.473;50;211;4,3%;11;104 ;4
Plads 01;Uge 2021-38;5700380269572;Løg 1 kg 40-60 mm;27;52;216;52;93;43;43,0%;11;19 ;8
Plads 01;Uge 2021-38;5700380394816;Kart Lammefjord 1,5;15;107;240;107;134;107;56,0%;11;21 ;12
Plads 01;Uge 2021-38;5700380806210;Knoldselleri;7;58;62;48;27;53;44,3%;11;5 ;2
Plads 01;Uge 2021-38;5700380988244;Hvidkål 1000-1800 gr;;0;;0;0;0;;11;0 ;0
Plads 01;Uge 2021-38;5700381206774;Øko ÄM porrer 1 stk;44;489;282;559;121;601;42,9%;11;25 ;11
Plads 01;Uge 2021-38;5700381232315;ØKO ÄM KART SMÅ;40;267;441;250;169;228;38,3%;11;39 ;15
Plads 01;Uge 2021-38;5700381563587;COOP DANSKVAND 2L;39;64;139;64;59;64;42,8%;11;12 ;5
Plads 01;Uge 2021-38;5700381660255;Ängla øko grønkål;7;70;90;66;33;60;36,7%;11;8 ;3
Plads 01;Uge 2021-38;5700381715467;BrødC MINERALV 50cL;722;2.006;5.776;1.910;4.479;1.890;77,5%;11;515 ;399
Plads 01;Uge 2021-38;5700381757511;Ängla øko Blomkål;13;93;208;93;72;81;34,7%;11;19 ;6
Plads 01;Uge 2021-38;5700381768852;SF HINDBÆR 170 g.;28;44;717;65;245;1.496;34,2%;11;64 ;22
Plads 01;Uge 2021-38;5700381779827;Porrer;39;60;156;71;88;88;56,2%;11;14 ;8
Plads 01;Uge 2021-38;5700381884897;ØKO ÄNGLAMARK HVEDEMEL DK 2 KG;17;;242;;49;;20,3%;11;22 ;4
Plads 01;Uge 2021-38;5700382004812;Øko ÄM Portobello;6;50;120;52;48;56;40,2%;11;11 ;4
Plads 01;Uge 2021-38;5700382039487;Pærer, store 6stk.DK;62;;1.037;;236;;22,7%;11;92 ;21
Plads 01;Uge 2021-38;5700382094080;Ängla øko datterino;28;90;493;90;231;123;46,9%;11;44 ;21
Plads 01;Uge 2021-38;5700382338535;Øko Spinat 200 gr;50;78;735;72;212;63;28,8%;11;66 ;19
Plads 01;Uge 2021-38;5700382391622;Spidskål;12;40;131;27;65;20;49,4%;11;12 ;6
Plads 01;Uge 2021-38;5700382516469;Courgette;19;;137;;90;;66,1%;11;12 ;8
Plads 01;Uge 2021-38;5700382724581;Broccoli;37;529;385;559;227;953;59,0%;11;34 ;20
Plads 01;Uge 2021-38;5700382729920;X-tra Kartofler 2 kg;33;114;396;114;172;114;43,3%;11;35 ;15
Plads 01;Uge 2021-38;5700382739325;ØKO ÄM KART 1 KG;40;111;352;111;101;117;28,6%;11;31 ;9
Plads 01;Uge 2021-38;5700382788019;ØKO ÄNGLA. ÆBLE Stor;11;92;264;103;95;131;35,8%;11;24 ;8
Plads 01;Uge 2021-38;5700382801596;Blommer;19;18;42;20;19;20;46,5%;11;4 ;2
Plads 01;Uge 2021-38;5700382948277;Gulerødder håndsort.;10;1.000;128;1.000;64;962;50,0%;11;11 ;6
Plads 01;Uge 2021-38;5700383052218;Cocktail tomater;1;;18;;7;;38,7%;11;2 ;1
Plads 01;Uge 2021-38;5700383201715;Øko Søris Kart 750 g;9;100;166;114;63;145;38,1%;11;15 ;6
Plads 01;Uge 2021-38;5700383591045;Øko Courgetter;40;49;240;46;74;50;30,7%;11;21 ;7
Plads 01;Uge 2021-38;5700383878061;San Marzanotomat;122;137;1.004;83;165;40;16,4%;11;89 ;15
Plads 01;Uge 2021-38;5700383979614;Æbler 6-8stk/bk. DK;24;;461;;203;;44,0%;11;41 ;18
Plads 01;Uge 2021-38;5700384125287;ØKO ÄNGLAMARK HVEDEMEL DK 1 KG;10;;96;;36;;37,7%;11;9 ;3
Plads 01;Uge 2021-38;5700384380556;ÄM Øko Blommetomater;23;70;460;70;187;49;40,8%;11;41 ;17
Plads 01;Uge 2021-38;5700384882302;SF Mix tomater;14;;246;;112;;45,5%;11;22 ;10
Plads 01;Uge 2021-38;5700384899577;RØDKÅL 1000-2000 GR;1;50;13;47;6;42;46,9%;11;1 ;1
Plads 01;Uge 2021-38;5700384984211;GULERØDDER 1,5 KG;24;77;250;77;124;78;49,8%;11;22 ;11
Plads 01;Uge 2021-38;5701677001257;CHAMPIGNON 250 gr.;22;183;246;183;71;183;28,6%;11;22 ;6
Plads 01;Uge 2021-38;5750006300721;Kart Vildmose 1,5 kg;24;160;284;151;115;140;40,5%;11;25 ;10
Plads 01;Uge 2021-38;5750006304415;SF Kart Asparges 1 k;6;60;106;60;47;60;44,5%;11;9 ;4
Plads 01;Uge 2021-38;5750006321023;ÄNGLA PÆRER 500gr;6;15;96;16;40;17;41,9%;11;9 ;4
Plads 01;Uge 2021-38;5750006323393;ØKO ÄM Gulerødder 1;57;64;502;70;190;119;37,8%;11;45 ;17
Plads 01;Uge 2021-38;5750006326691;Ängla Broccoli;28;80;314;77;55;55;17,6%;11;28 ;5
Plads 01;Uge 2021-38;5750006327728;Ängla Rødbeder 1 kg;6;100;53;92;23;83;43,0%;11;5 ;2
Plads 01;Uge 2021-38;5750006329289;Blomkål;78;252;753;190;233;120;30,9%;11;67 ;21
Plads 01;Uge 2021-38;5750006331084;Kartofler Bage 1,5 k;19;86;240;80;96;72;39,8%;11;21 ;9
Plads 01;Uge 2021-38;5750006339622;Kartofler Mos 2 kg;12;71;163;71;82;71;50,0%;11;15 ;7
Plads 01;Uge 2021-38;5750006343506;Ängla Øko tomater;13;50;281;53;111;39;39,5%;11;25 ;10
Plads 01;Uge 2021-38;5750006344084;Angla Rødløg 750 gr;16;84;218;84;86;84;39,7%;11;19 ;8
Plads 01;Uge 2021-38;5750006344138;K&A Classic tomater;5;38;100;48;57;85;57,1%;11;9 ;5
Plads 01;Uge 2021-38;5750006361050;PÆRER 1KG;24;77;280;57;21;13;7,4%;11;25 ;2
