Salgsplads;uge;Vare ;;oms;index_oms_stk;oms_kr;index_oms_kr;avance_kr;index_avance_kr;avance_perc;antal_kunder_1000;oms_pr_1000_kunde;avance_pr_1000_kunde
I alt;;;;3.928;131;36.195;135;17.984;167;49,7%;20;1.789 ;889
Plads 01;I alt;;;3.928;131;36.195;135;17.984;167;49,7%;20;1.789 ;889
Plads 01;Uge 2021-40;I alt;;2.388;148;21.678;145;11.120;186;51,3%;12;1.842 ;945
Plads 01;Uge 2021-40;57095370;KILDEVÆLD 50CL;17;19;150;19;75;24;50,5%;12;13 ;6
Plads 01;Uge 2021-40;5700380222096;Rødbeder 1,5 kg.;4;27;48;58;28;341;58,3%;12;4 ;2
Plads 01;Uge 2021-40;5700380268926;ØKO ÄM SPIDSKÅL;19;106;213;101;81;117;37,9%;12;18 ;7
Plads 01;Uge 2021-40;5700380269572;Løg 1 kg 40-60 mm;43;93;344;93;148;77;43,0%;12;29 ;13
Plads 01;Uge 2021-40;5700380394816;Kart Lammefjord 1,5;18;78;280;76;153;74;54,7%;12;24 ;13
Plads 01;Uge 2021-40;5700380806210;Knoldselleri;7;78;62;61;27;64;44,3%;12;5 ;2
Plads 01;Uge 2021-40;5700380988244;Hvidkål 1000-1800 gr;4;100;51;133;24;202;47,1%;12;4 ;2
Plads 01;Uge 2021-40;5700381206774;Øko ÄM porrer 1 stk;31;310;194;346;80;360;41,5%;12;16 ;7
Plads 01;Uge 2021-40;5700381232315;ØKO ÄM KART SMÅ;28;175;314;196;123;241;39,3%;12;27 ;10
Plads 01;Uge 2021-40;5700381563587;COOP DANSKVAND 2L;32;94;114;94;58;112;50,6%;12;10 ;5
Plads 01;Uge 2021-40;5700381660255;Ängla øko grønkål;10;125;128;118;47;107;36,7%;12;11 ;4
Plads 01;Uge 2021-40;5700381715467;BrødC MINERALV 50cL;850;1.848;6.800;1.760;5.331;1.760;78,4%;12;578 ;453
Plads 01;Uge 2021-40;5700381757511;Ängla øko Blomkål;3;17;48;18;17;18;34,7%;12;4 ;1
Plads 01;Uge 2021-40;5700381768852;SF HINDBÆR 170 g.;42;150;731;106;68;33;9,3%;12;62 ;6
Plads 01;Uge 2021-40;5700381779827;Porrer;45;56;180;66;101;81;56,2%;12;15 ;9
Plads 01;Uge 2021-40;5700381884897;ØKO ÄNGLAMARK HVEDEMEL DK 2 KG;22;;334;;84;;25,2%;12;28 ;7
Plads 01;Uge 2021-40;5700382004812;Øko ÄM Portobello;6;150;114;159;43;177;37,2%;12;10 ;4
Plads 01;Uge 2021-40;5700382039487;Pærer, store 6stk.DK;22;;475;;191;;40,2%;12;40 ;16
Plads 01;Uge 2021-40;5700382094080;Ängla øko datterino;18;86;317;86;109;86;34,3%;12;27 ;9
Plads 01;Uge 2021-40;5700382338535;Øko Spinat 200 gr;40;71;628;72;209;75;33,3%;12;53 ;18
Plads 01;Uge 2021-40;5700382391622;Spidskål;75;179;600;142;185;91;30,9%;12;51 ;16
Plads 01;Uge 2021-40;5700382516469;Courgette;69;;359;;138;;38,5%;12;30 ;12
Plads 01;Uge 2021-40;5700382724581;Broccoli;63;630;443;396;56;118;12,7%;12;38 ;5
Plads 01;Uge 2021-40;5700382729920;X-tra Kartofler 2 kg;27;100;324;100;140;100;43,3%;12;28 ;12
Plads 01;Uge 2021-40;5700382739325;ØKO ÄM KART 1 KG;112;238;820;199;281;251;34,2%;12;70 ;24
Plads 01;Uge 2021-40;5700382788019;ØKO ÄNGLA. ÆBLE Stor;16;114;384;127;138;138;35,8%;12;33 ;12
Plads 01;Uge 2021-40;5700382801596;Blommer;29;25;64;27;30;45;46,5%;12;5 ;3
Plads 01;Uge 2021-40;5700382815340;Øko 365 Gulerødder 1;20;;176;;104;;59,1%;12;15 ;9
Plads 01;Uge 2021-40;5700382948277;Gulerødder håndsort.;11;79;141;126;84;286;59,4%;12;12 ;7
Plads 01;Uge 2021-40;5700383052218;Cocktail tomater;4;;70;;50;;70,5%;12;6 ;4
Plads 01;Uge 2021-40;5700383201715;Øko Søris Kart 750 g;16;123;232;122;50;113;21,5%;12;20 ;4
Plads 01;Uge 2021-40;5700383591045;Øko Courgetter;1;1;6;1;2;3;30,7%;12;1 ;0
Plads 01;Uge 2021-40;5700383878061;San Marzanotomat;29;54;393;54;148;59;37,6%;12;33 ;13
Plads 01;Uge 2021-40;5700383979614;Æbler 6-8stk/bk. DK;;0;;0;0;0;;12;0 ;0
Plads 01;Uge 2021-40;5700384125287;ØKO ÄNGLAMARK HVEDEMEL DK 1 KG;9;;86;;32;;37,7%;12;7 ;3
Plads 01;Uge 2021-40;5700384380556;ÄM Øko Blommetomater;19;44;380;44;155;44;40,8%;12;32 ;13
Plads 01;Uge 2021-40;5700384882302;SF Mix tomater;24;;422;;192;;45,5%;12;36 ;16
Plads 01;Uge 2021-40;5700384899577;RØDKÅL 1000-2000 GR;2;;26;;12;;46,9%;12;2 ;1
Plads 01;Uge 2021-40;5700384984211;GULERØDDER 1,5 KG;34;148;354;176;176;207;49,8%;12;30 ;15
Plads 01;Uge 2021-40;5701677001257;CHAMPIGNON 250 gr.;16;229;179;229;51;229;28,6%;12;15 ;4
Plads 01;Uge 2021-40;5750006300721;Kart Vildmose 1,5 kg;12;86;108;52;24;20;21,8%;12;9 ;2
Plads 01;Uge 2021-40;5750006304415;SF Kart Asparges 1 k;8;42;141;45;63;50;44,5%;12;12 ;5
Plads 01;Uge 2021-40;5750006321023;ÄNGLA PÆRER 500gr;7;44;112;63;47;126;41,9%;12;10 ;4
Plads 01;Uge 2021-40;5750006323393;ØKO ÄM Gulerødder 1;36;64;317;71;120;80;37,8%;12;27 ;10
Plads 01;Uge 2021-40;5750006326691;Ängla Broccoli;31;74;347;74;61;59;17,6%;12;30 ;5
Plads 01;Uge 2021-40;5750006327728;Ängla Rødbeder 1 kg;8;200;70;183;30;166;43,0%;12;6 ;3
Plads 01;Uge 2021-40;5750006329289;Blomkål;46;144;368;90;129;64;35,0%;12;31 ;11
Plads 01;Uge 2021-40;5750006331084;Kartofler Bage 1,5 k;18;300;224;275;87;242;38,9%;12;19 ;7
Plads 01;Uge 2021-40;5750006339622;Kartofler Mos 2 kg;13;144;177;144;88;144;50,0%;12;15 ;8
Plads 01;Uge 2021-40;5750006343506;Ängla Øko tomater;9;129;194;141;77;109;39,5%;12;17 ;7
Plads 01;Uge 2021-40;5750006344084;Angla Rødløg 750 gr;16;114;218;114;86;114;39,7%;12;18 ;7
Plads 01;Uge 2021-40;5750006344138;K&A Classic tomater;6;50;120;50;55;50;45,7%;12;10 ;5
Plads 01;Uge 2021-40;5750006361050;PÆRER 1KG;18;53;302;56;108;60;35,7%;12;26 ;9
Plads 01;Uge 2021-40;5750006363634;Änglamark æbler 1 kg;18;129;432;214;171;1.363;39,6%;12;37 ;15
Plads 01;Uge 2021-40;5756605000390;Kart Alexandra 850 g;2;29;35;44;17;102;47,7%;12;3 ;1
Plads 01;Uge 2021-40;7340011320777;ØKO ÄNGLAMARK MAJSMEL 500 G;;0;;0;0;0;;12;0 ;0
Plads 01;Uge 2021-40;7340011321194;COOP MINERALVAND 50C;191;82;756;82;573;86;75,8%;12;64 ;49
Plads 01;Uge 2021-40;7340011340058;LØSE MAJS X-TRA 300/285 G;15;;57;;3;;5,3%;12;5 ;0
Plads 01;Uge 2021-40;7340011351085;COOP LØSE MAJS 3-PAK 594/504 G;6;46;78;48;32;41;40,6%;12;7 ;3
Plads 01;Uge 2021-40;7340011352549;FULDKORNSMEL COOP 1 KG;;0;;0;0;0;;12;0 ;0
Plads 01;Uge 2021-40;7340011364368;COOP MINERALVAND 2L;29;145;104;145;42;187;40,4%;12;9 ;4
Plads 01;Uge 2021-40;7340011464587;X-TRA RØDBEDER I SKIVER 670/430 G;8;400;30;390;-4;309;-13,2%;12;3 ;0
Plads 01;Uge 2021-40;7340011481782;Øko ÄM HK Spinat;12;600;134;600;67;579;50,4%;12;11 ;6
Plads 01;Uge 2021-40;7340011487906;ØKO ÄNGLAMARK KIKÆRTER 380/230 G;31;135;249;127;165;135;66,5%;12;21 ;14
Plads 01;Uge 2021-40;7340191112582;Øko ÄM Broccoli 400g;11;;123;;59;;47,8%;12;10 ;5
Plads 01;Uge 2021-41;I alt;;1.540;112;14.517;122;6.863;142;47,3%;8;1.714 ;810
Plads 01;Uge 2021-41;57095370;KILDEVÆLD 50CL;29;24;255;24;129;29;50,5%;8;30 ;15
Plads 01;Uge 2021-41;5700380222096;Rødbeder 1,5 kg.;1;25;12;25;7;25;58,3%;8;1 ;1
Plads 01;Uge 2021-41;5700380268926;ØKO ÄM SPIDSKÅL;20;133;224;126;96;163;42,9%;8;26 ;11
Plads 01;Uge 2021-41;5700380269572;Løg 1 kg 40-60 mm;44;100;352;100;151;83;43,0%;8;42 ;18
Plads 01;Uge 2021-41;5700380394816;Kart Lammefjord 1,5;10;83;160;89;90;94;56,0%;8;19 ;11
Plads 01;Uge 2021-41;5700380806210;Knoldselleri;8;200;70;157;31;166;44,3%;8;8 ;4
Plads 01;Uge 2021-41;5700380988244;Hvidkål 1000-1800 gr;5;250;64;333;30;504;47,1%;8;8 ;4
Plads 01;Uge 2021-41;5700381206774;Øko ÄM porrer 1 stk;39;260;250;297;107;320;42,9%;8;29 ;13
Plads 01;Uge 2021-41;5700381232315;ØKO ÄM KART SMÅ;15;107;168;115;66;129;39,3%;8;20 ;8
Plads 01;Uge 2021-41;5700381563587;COOP DANSKVAND 2L;28;85;100;85;50;101;50,6%;8;12 ;6
Plads 01;Uge 2021-41;5700381660255;Ängla øko grønkål;4;80;51;75;19;68;36,7%;8;6 ;2
Plads 01;Uge 2021-41;5700381715467;BrødC MINERALV 50cL;293;2.442;2.344;2.325;1.838;2.326;78,4%;8;277 ;217
Plads 01;Uge 2021-41;5700381757511;Ängla øko Blomkål;2;29;32;29;11;25;34,7%;8;4 ;1
Plads 01;Uge 2021-41;5700381768852;SF HINDBÆR 170 g.;12;63;307;63;105;63;34,2%;8;36 ;12
Plads 01;Uge 2021-41;5700381779827;Porrer;43;110;172;130;97;158;56,2%;8;20 ;11
Plads 01;Uge 2021-41;5700381884897;ØKO ÄNGLAMARK HVEDEMEL DK 2 KG;9;;136;;34;;25,2%;8;16 ;4
Plads 01;Uge 2021-41;5700382004812;Øko ÄM Portobello;3;100;60;104;24;111;40,2%;8;7 ;3
Plads 01;Uge 2021-41;5700382039487;Pærer, store 6stk.DK;7;;142;;51;;36,1%;8;17 ;6
Plads 01;Uge 2021-41;5700382094080;Ängla øko datterino;25;278;440;278;151;278;34,3%;8;52 ;18
Plads 01;Uge 2021-41;5700382338535;Øko Spinat 200 gr;37;86;580;85;193;86;33,2%;8;68 ;23
Plads 01;Uge 2021-41;5700382391622;Spidskål;62;182;496;160;153;115;30,9%;8;59 ;18
Plads 01;Uge 2021-41;5700382516469;Courgette;20;;104;;40;;38,5%;8;12 ;5
Plads 01;Uge 2021-41;5700382724581;Broccoli;39;134;341;105;154;111;45,1%;8;40 ;18
Plads 01;Uge 2021-41;5700382729920;X-tra Kartofler 2 kg;16;64;192;64;83;64;43,3%;8;23 ;10
Plads 01;Uge 2021-41;5700382739325;ØKO ÄM KART 1 KG;38;90;334;90;96;95;28,6%;8;39 ;11
Plads 01;Uge 2021-41;5700382788019;ØKO ÄNGLA. ÆBLE Stor;18;200;432;231;155;272;35,8%;8;51 ;18
Plads 01;Uge 2021-41;5700382801596;Blommer;24;33;53;36;25;38;46,5%;8;6 ;3
Plads 01;Uge 2021-41;5700382815340;Øko 365 Gulerødder 1;32;;282;;180;;63,9%;8;33 ;21
Plads 01;Uge 2021-41;5700382948277;Gulerødder håndsort.;9;47;115;81;58;197;50,0%;8;14 ;7
Plads 01;Uge 2021-41;5700383052218;Cocktail tomater;1;;18;;7;;38,7%;8;2 ;1
Plads 01;Uge 2021-41;5700383201715;Øko Søris Kart 750 g;14;1.400;202;1.096;41;572;20,3%;8;24 ;5
Plads 01;Uge 2021-41;5700383591045;Øko Courgetter;46;66;276;80;85;385;30,7%;8;33 ;10
Plads 01;Uge 2021-41;5700383878061;San Marzanotomat;23;72;365;84;170;114;46,7%;8;43 ;20
