intro_1;intro_2;intro_3;intro_4;intro_5;oplys_1;oplys_2;oplys_3;oplys_4;oplys_5;insp_1;insp_2;insp_3;insp_4;nudge_1;nudge_2;nudge_3;nudge_4;E-mail;Samlet status - Ny;Samlet status - Distribueret;Samlet status - Nogen svar;Samlet status - Gennemført;Samlet status - Frafaldet;Hvor besvarer du dette spørgsmål henne?;Hvilken grund er der til, at du ikke ønsker dette?;Hvilken grund er der til, at du ikke ønsker dette? - Andet:
Ja;Delvis enig;Hverken eller;Delvis enig;Hverken eller;Delvis enig;Delvis enig;Delvis enig;Delvis enig;Delvis enig;Delvis enig;Hverken eller;Hverken eller;Hverken eller;Hverken eller;Hverken eller;Hverken eller;Hverken eller;;0;0;0;1;0;Kvickly, Bruuns Galleri (fysisk);;
Ja;Enig;Delvis enig;Enig;Uenig;Enig;Delvis enig;Delvis enig;Enig;Enig;Delvis enig;Delvis enig;Hverken eller;Hverken eller;Uenig;Delvis enig;Delvis enig;Enig;;0;0;0;1;0;Kvickly, Bruuns Galleri (fysisk);;
Ja;Hverken eller;Hverken eller;Delvis enig;Hverken eller;Uenig;Delvis uenig;Delvis enig;Hverken eller;Hverken eller;Delvis enig;Enig;Delvis enig;Delvis enig;Hverken eller;Delvis uenig;Hverken eller;Delvis enig;;0;0;0;1;0;Kvickly, Bruuns Galleri (fysisk);;
Ja;Hverken eller;Enig;Hverken eller;Delvis enig;Delvis uenig;Delvis uenig;Delvis enig;Delvis uenig;Hverken eller;Hverken eller;Hverken eller;Delvis enig;Hverken eller;Delvis enig;Hverken eller;Delvis uenig;Uenig;;0;0;0;1;0;COOP App'en;;
Ja;Delvis enig;Hverken eller;Enig;Delvis enig;Delvis uenig;Uenig;Delvis enig;Delvis enig;Delvis enig;Delvis uenig;Hverken eller;Delvis enig;Hverken eller;Delvis enig;Delvis uenig;Uenig;Hverken eller;;0;0;0;1;0;Kvickly, Bruuns Galleri (fysisk);;
Ja;Delvis enig;Delvis enig;Enig;Delvis enig;Delvis uenig;Delvis enig;Enig;Enig;Enig;Delvis enig;Hverken eller;Hverken eller;Uenig;Hverken eller;Delvis uenig;Delvis uenig;Hverken eller;;0;0;0;1;0;Kvickly, Bruuns Galleri (fysisk);;
Ja;Delvis enig;Hverken eller;Hverken eller;Delvis uenig;Delvis uenig;Delvis enig;Enig;Delvis enig;Enig;Delvis enig;Delvis enig;Delvis enig;Delvis uenig;Delvis enig;Delvis uenig;Delvis enig;Enig;;0;0;0;1;0;Kvickly, Bruuns Galleri (fysisk);;
Ja;Delvis enig;Hverken eller;Delvis enig;Delvis uenig;Delvis uenig;Hverken eller;Delvis enig;Enig;Enig;Delvis enig;Hverken eller;Uenig;Uenig;Uenig;Delvis enig;Hverken eller;Delvis enig;;0;0;0;1;0;Kvickly, Bruuns Galleri (fysisk);;
Nej;;;;;;;;;;;;;;;;;;;0;0;0;1;0;Kvickly, Bruuns Galleri (fysisk);Andet:;Jeg tænker ikke så meget over det
Ja;Delvis enig;Delvis uenig;Delvis enig;Delvis uenig;Delvis enig;Hverken eller;Delvis enig;Enig;Enig;Delvis enig;Delvis enig;Delvis enig;Delvis uenig;Delvis enig;Hverken eller;Delvis uenig;Delvis enig;;0;0;0;1;0;Kvickly, Bruuns Galleri (fysisk);;
Ja;Hverken eller;Enig;Hverken eller;Delvis enig;Hverken eller;Delvis uenig;Delvis uenig;Hverken eller;Hverken eller;Hverken eller;Delvis uenig;Delvis uenig;Delvis uenig;Hverken eller;Delvis enig;Delvis uenig;Hverken eller;;0;0;0;1;0;Kvickly, Bruuns Galleri (fysisk);;
Ja;Delvis enig;Delvis enig;Delvis enig;Delvis uenig;Delvis enig;Delvis enig;Delvis enig;Enig;Enig;Delvis enig;Hverken eller;Hverken eller;Delvis uenig;Delvis uenig;Hverken eller;Delvis enig;Delvis enig;;0;0;0;1;0;Kvickly, Bruuns Galleri (fysisk);;
Nej;;;;;;;;;;;;;;;;;;;0;0;0;1;0;Kvickly, Bruuns Galleri (fysisk);Jeg er ikke interesseret i klima i forhold til mine indkøb  ;
Ja;Enig;Delvis enig;Delvis enig;Hverken eller;Delvis uenig;Delvis enig;Enig;Hverken eller;Delvis enig;Delvis enig;Hverken eller;Delvis enig;Delvis enig;Enig;Delvis enig;Delvis uenig;Delvis enig;;0;0;0;1;0;Kvickly, Bruuns Galleri (fysisk);;
Ja;Delvis enig;Hverken eller;Delvis enig;Hverken eller;Delvis uenig;Uenig;Enig;Enig;Delvis enig;Hverken eller;Hverken eller;Delvis enig;Hverken eller;Hverken eller;Hverken eller;Delvis uenig;Enig;;0;0;0;1;0;Kvickly, Bruuns Galleri (fysisk);;
Ja;Hverken eller;Enig;Delvis enig;Hverken eller;Uenig;Delvis uenig;Delvis enig;Hverken eller;Delvis enig;Delvis enig;Hverken eller;Delvis enig;Delvis enig;Hverken eller;Delvis enig;Delvis uenig;Hverken eller;;0;0;0;1;0;Kvickly, Bruuns Galleri (fysisk);;
Ja;Enig;Uenig;Enig;Uenig;Delvis enig;Delvis enig;Enig;Delvis enig;Delvis uenig;Delvis enig;Delvis enig;Delvis enig;Delvis enig;Delvis enig;Uenig;Enig;Enig;;0;0;0;1;0;Kvickly, Bruuns Galleri (fysisk);;
Ja;Enig;Delvis enig;Enig;Delvis uenig;Delvis uenig;Delvis enig;Delvis enig;Hverken eller;Delvis enig;Enig;Delvis enig;Hverken eller;Delvis uenig;Delvis uenig;Delvis uenig;Delvis enig;Enig;;0;0;0;1;0;Kvickly, Bruuns Galleri (fysisk);;
Ja;Delvis enig;Hverken eller;Delvis enig;Delvis uenig;Delvis enig;Delvis uenig;Enig;Delvis enig;Hverken eller;Hverken eller;Delvis enig;Delvis enig;Hverken eller;Hverken eller;Hverken eller;Delvis uenig;Hverken eller;;0;0;0;1;0;Kvickly, Bruuns Galleri (fysisk);;
Ja;Hverken eller;Enig;Delvis enig;Delvis enig;Delvis uenig;Uenig;Delvis enig;Enig;Enig;Enig;Enig;Enig;Hverken eller;Enig;Delvis enig;Delvis uenig;Enig;;0;0;0;1;0;Kvickly, Bruuns Galleri (fysisk);;
Ja;;;;;;;;;;;;;;;;;;;0;0;1;0;0;Kvickly, Bruuns Galleri (fysisk);;
