"","X1","uge","vare","X3","prod_cat","intervention","oms","week"
"1",1,1,57095370,"KILDEV<c6>LD 50CL","water","reference",37,1
"2",2,1,5700380222096,"R<f8>dbeder 1,5 kg.","beats","reference",7,1
"3",3,1,5700380268926,"<d8>KO <c4>M SPIDSK<c5>L","cale","reference",199,1
"4",4,1,5700380269572,"L<f8>g 1 kg 40-60 mm","onion","reference",83,1
"5",5,1,5700380394816,"Kart Lammefjord 1,5","potato","reference",52,1
"6",6,1,5700380806210,"Knoldselleri","celeriac","reference",16,1
"7",7,1,5700380988244,"Hvidk<e5>l 1000-1800 gr","cale","reference",NA,1
"8",8,1,5700381206774,"<d8>ko <c4>M porrer 1 stk","leek","reference",84,1
"9",9,1,5700381232315,"<d8>KO <c4>M KART SM<c5>","potato","reference",34,1
"10",10,1,5700381563587,"COOP DANSKVAND 2L","water","reference",66,1
"11",11,1,5700381660255,"<c4>ngla <f8>ko gr<f8>nk<e5>l","cale","reference",10,1
"12",12,1,5700381715467,"Br<f8>dC MINERALV 50cL","bread","reference",553,1
"13",13,1,5700381757511,"<c4>ngla <f8>ko Blomk<e5>l","cale","reference",12,1
"14",14,1,5700381768852,"SF HINDB<c6>R 170 g.","berries","reference",68,1
"15",15,1,5700381779827,"Porrer","leek","reference",82,1
"16",16,1,5700381884897,"<d8>KO <c4>NGLAMARK HVEDEMEL DK 2 KG","flour","reference",19,1
"17",17,1,5700382004812,"<d8>ko <c4>M Portobello","mushrooms","reference",12,1
"18",18,1,5700382039487,"P<e6>rer, store 6stk.DK","pear","reference",109,1
"19",19,1,5700382094080,"<c4>ngla <f8>ko datterino","tomato","reference",61,1
"20",20,1,5700382338535,"<d8>ko Spinat 200 gr","spinage","reference",88,1
"21",21,1,5700382391622,"Spidsk<e5>l","cale","reference",40,1
"22",22,1,5700382516469,"Courgette","squash","reference",62,1
"23",23,1,5700382724581,"Broccoli","broccoli","reference",242,1
"24",24,1,5700382729920,"X-tra Kartofler 2 kg","potato","reference",58,1
"25",25,1,5700382739325,"<d8>KO <c4>M KART 1 KG","potato","reference",74,1
"26",26,1,5700382788019,"<d8>KO <c4>NGLA. <c6>BLE Stor","apples","reference",19,1
"27",27,1,5700382801596,"Blommer","plums","reference",48,1
"28",28,1,5700382948277,"Guler<f8>dder h<e5>ndsort.","carrots","reference",62,1
"29",29,1,5700383052218,"Cocktail tomater","tomato","reference",4,1
"30",30,1,5700383201715,"<d8>ko S<f8>ris Kart 750 g","potato","reference",14,1
"31",31,1,5700383591045,"<d8>ko Courgetter","squash","reference",84,1
"32",32,1,5700383878061,"San Marzanotomat","tomato","reference",119,1
"33",33,1,5700383979614,"<c6>bler 6-8stk/bk. DK","apples","reference",NA,1
"34",34,1,5700384125287,"<d8>KO <c4>NGLAMARK HVEDEMEL DK 1 KG","flour","reference",13,1
"35",35,1,5700384380556,"<c4>M <d8>ko Blommetomater","tomato","reference",39,1
"36",36,1,5700384882302,"SF Mix tomater","tomato","reference",30,1
"37",37,1,5700384899577,"R<d8>DK<c5>L 1000-2000 GR","cale","reference",NA,1
"38",38,1,5700384984211,"GULER<d8>DDER 1,5 KG","carrots","reference",42,1
"39",39,1,5701677001257,"CHAMPIGNON 250 gr.","mushrooms","reference",38,1
"40",40,1,5750006300721,"Kart Vildmose 1,5 kg","potato","reference",28,1
"41",41,1,5750006304415,"SF Kart Asparges 1 k","potato","reference",16,1
