"","X1","uge","vare","X3","prod_cat","intervention","oms.x","week","vare_grp","oms.y","diff","diff_perc","int_type","se","mean"
"1",1,1,57095370,"KILDEV<c6>LD 50CL","water","label",46,1,"water",37,9,24.3,"labeling",5.03,-8.78
"2",2,1,5700380222096,"R<f8>dbeder 1,5 kg.","beats","label",5,1,"vegetables",7,-2,-28.6,"labeling",5.03,-8.78
"3",3,1,5700380268926,"<d8>KO <c4>M SPIDSK<c5>L","cale","label",39,1,"vegetables",199,-160,-80.4,"labeling",5.03,-8.78
"4",4,1,5700380269572,"L<f8>g 1 kg 40-60 mm","onion","label",87,1,"vegetables",83,4,4.8,"labeling",5.03,-8.78
"5",5,1,5700380394816,"Kart Lammefjord 1,5","potato","label",28,1,"vegetables",52,-24,-46.2,"labeling",5.03,-8.78
"6",6,1,5700380806210,"Knoldselleri","celeriac","label",15,1,"vegetables",16,-1,-6.2,"labeling",5.03,-8.78
"7",7,1,5700380988244,"Hvidk<e5>l 1000-1800 gr","cale","label",9,1,"vegetables",NA,NA,NA,"labeling",5.03,-8.78
"8",8,1,5700381206774,"<d8>ko <c4>M porrer 1 stk","leek","label",70,1,"vegetables",84,-14,-16.7,"labeling",5.03,-8.78
"9",9,1,5700381232315,"<d8>KO <c4>M KART SM<c5>","potato","label",43,1,"vegetables",34,9,26.5,"labeling",5.03,-8.78
"10",10,1,5700381563587,"COOP DANSKVAND 2L","water","label",60,1,"water",66,-6,-9.1,"labeling",5.03,-8.78
"11",11,1,5700381660255,"<c4>ngla <f8>ko gr<f8>nk<e5>l","cale","label",14,1,"vegetables",10,4,40,"labeling",5.03,-8.78
"12",13,1,5700381757511,"<c4>ngla <f8>ko Blomk<e5>l","cale","label",5,1,"vegetables",12,-7,-58.3,"labeling",5.03,-8.78
"13",14,1,5700381768852,"SF HINDB<c6>R 170 g.","berries","label",54,1,"fruit",68,-14,-20.6,"labeling",5.03,-8.78
"14",15,1,5700381779827,"Porrer","leek","label",88,1,"vegetables",82,6,7.3,"labeling",5.03,-8.78
"15",16,1,5700381884897,"<d8>KO <c4>NGLAMARK HVEDEMEL DK 2 KG","flour","label",31,1,"bread/flour",19,12,63.2,"labeling",5.03,-8.78
"16",17,1,5700382004812,"<d8>ko <c4>M Portobello","mushrooms","label",9,1,"vegetables",12,-3,-25,"labeling",5.03,-8.78
"17",18,1,5700382039487,"P<e6>rer, store 6stk.DK","pear","label",29,1,"fruit",109,-80,-73.4,"labeling",5.03,-8.78
"18",19,1,5700382094080,"<c4>ngla <f8>ko datterino","tomato","label",43,1,"vegetables",61,-18,-29.5,"labeling",5.03,-8.78
"19",20,1,5700382338535,"<d8>ko Spinat 200 gr","spinage","label",77,1,"vegetables",88,-11,-12.5,"labeling",5.03,-8.78
"20",21,1,5700382391622,"Spidsk<e5>l","cale","label",137,1,"vegetables",40,97,242.5,"labeling",5.03,-8.78
"21",22,1,5700382516469,"Courgette","squash","label",89,1,"vegetables",62,27,43.5,"labeling",5.03,-8.78
"22",23,1,5700382724581,"Broccoli","broccoli","label",102,1,"vegetables",242,-140,-57.9,"labeling",5.03,-8.78
"23",24,1,5700382729920,"X-tra Kartofler 2 kg","potato","label",43,1,"vegetables",58,-15,-25.9,"labeling",5.03,-8.78
"24",25,1,5700382739325,"<d8>KO <c4>M KART 1 KG","potato","label",150,1,"vegetables",74,76,102.7,"labeling",5.03,-8.78
"25",26,1,5700382788019,"<d8>KO <c4>NGLA. <c6>BLE Stor","apples","label",34,1,"fruit",19,15,78.9,"labeling",5.03,-8.78
