"","uge","vare","X4","oms","prod_cat"
"1","Uge 2021-39","57095370","KILDEV<c6>LD 50CL",34,"water"
"2","Uge 2021-39","5700380222096","R<f8>dbeder 1,5 kg.",7,"beats"
"3","Uge 2021-39","5700380268926","<d8>KO <c4>M SPIDSK<c5>L",232,"cale"
"4","Uge 2021-39","5700380269572","L<f8>g 1 kg 40-60 mm",101,"tomato"
"5","Uge 2021-39","5700380394816","Kart Lammefjord 1,5",49,"potato"
"6","Uge 2021-39","5700380806210","Knoldselleri",20,"celeriac"
"7","Uge 2021-39","5700380988244","Hvidk<e5>l 1000-1800 gr",6,"cale"
"8","Uge 2021-39","5700381206774","<d8>ko <c4>M porrer 1 stk",79,"leek"
"9","Uge 2021-39","5700381232315","<d8>KO <c4>M KART SM<c5>",13,"potato"
"10","Uge 2021-39","5700381563587","COOP DANSKVAND 2L",74,"water"
"11","Uge 2021-39","5700381660255","<c4>ngla <f8>ko gr<f8>nk<e5>l",7,"cale"
"12","Uge 2021-39","5700381715467","Br<f8>dC MINERALV 50cL",1.274,"bread"
"13","Uge 2021-39","5700381757511","<c4>ngla <f8>ko Blomk<e5>l",8,"cale"
"14","Uge 2021-39","5700381768852","SF HINDB<c6>R 170 g.",77,"berries"
"15","Uge 2021-39","5700381779827","Porrer",95,"leek"
"16","Uge 2021-39","5700381884897","<d8>KO <c4>NGLAMARK HVEDEMEL DK 2 KG",14,"flour"
"17","Uge 2021-39","5700382004812","<d8>ko <c4>M Portobello",12,"mushrooms"
"18","Uge 2021-39","5700382039487","P<e6>rer, store 6stk.DK",119,"pear"
"19","Uge 2021-39","5700382094080","<c4>ngla <f8>ko datterino",67,"tomato"
"20","Uge 2021-39","5700382338535","<d8>ko Spinat 200 gr",80,"spinage"
"21","Uge 2021-39","5700382391622","Spidsk<e5>l",26,"cale"
"22","Uge 2021-39","5700382516469","Courgette",53,"squash"
"23","Uge 2021-39","5700382724581","Broccoli",254,"broccoli"
"24","Uge 2021-39","5700382729920","X-tra Kartofler 2 kg",64,"potato"
"25","Uge 2021-39","5700382739325","<d8>KO <c4>M KART 1 KG",56,"potato"
"26","Uge 2021-39","5700382788019","<d8>KO <c4>NGLA. <c6>BLE Stor",12,"apples"
"27","Uge 2021-39","5700382801596","Blommer",53,"plums"
"28","Uge 2021-39","5700382815340","<d8>ko 365 Guler<f8>dder 1",NA,"carrots"
"29","Uge 2021-39","5700382948277","Guler<f8>dder h<e5>ndsort.",99,"carrots"
"30","Uge 2021-39","5700383052218","Cocktail tomater",4,"tomato"
"31","Uge 2021-39","5700383201715","<d8>ko S<f8>ris Kart 750 g",15,"potato"
"32","Uge 2021-39","5700383591045","<d8>ko Courgetter",114,"squash"
"33","Uge 2021-39","5700383878061","San Marzanotomat",71,"tomato"
"34","Uge 2021-39","5700383979614","<c6>bler 6-8stk/bk. DK",29,"apples"
"35","Uge 2021-39","5700384125287","<d8>KO <c4>NGLAMARK HVEDEMEL DK 1 KG",11,"flour"
"36","Uge 2021-39","5700384380556","<c4>M <d8>ko Blommetomater",40,"tomato"
"37","Uge 2021-39","5700384882302","SF Mix tomater",31,"tomato"
"38","Uge 2021-39","5700384899577","R<d8>DK<c5>L 1000-2000 GR",5,"cale"
"39","Uge 2021-39","5700384984211","GULER<d8>DDER 1,5 KG",33,"carrots"
"40","Uge 2021-39","5701677001257","CHAMPIGNON 250 gr.",27,"mushrooms"
"41","Uge 2021-39","5750006300721","Kart Vildmose 1,5 kg",23,"potato"
"42","Uge 2021-39","5750006304415","SF Kart Asparges 1 k",19,"potato"
"43","Uge 2021-39","5750006321023","<c4>NGLA P<c6>RER 500gr",8,"pear"
"44","Uge 2021-39","5750006323393","<d8>KO <c4>M Guler<f8>dder 1",104,"carrots"
"45","Uge 2021-39","5750006326691","<c4>ngla Broccoli",37,"broccoli"
"46","Uge 2021-39","5750006327728","<c4>ngla R<f8>dbeder 1 kg",14,"beats"
"47","Uge 2021-39","5750006329289","Blomk<e5>l",118,"cale"
"48","Uge 2021-39","5750006331084","Kartofler Bage 1,5 k",16,"potato"
"49","Uge 2021-39","5750006339622","Kartofler Mos 2 kg",16,"potato"
"50","Uge 2021-39","5750006343506","<c4>ngla <d8>ko tomater",16,"tomato"
"51","Uge 2021-39","5750006344084","Angla R<f8>dl<f8>g 750 gr",23,"onion"
"52","Uge 2021-39","5750006344138","K&A Classic tomater",46,"tomato"
"53","Uge 2021-39","5750006361050","P<c6>RER 1KG",35,"pear"
"54","Uge 2021-39","5750006363634","<c4>nglamark <e6>bler 1 kg",144,"apples"
"55","Uge 2021-39","5756605000390","Kart Alexandra 850 g",8,"potato"
"56","Uge 2021-39","7340011320777","<d8>KO <c4>NGLAMARK MAJSMEL 500 G",1,"flour"
"57","Uge 2021-39","7340011321194","COOP MINERALVAND 50C",470,"water"
"58","Uge 2021-39","7340011340058","L<d8>SE MAJS X-TRA 300/285 G",32,"corn"
"59","Uge 2021-39","7340011351085","COOP L<d8>SE MAJS 3-PAK 594/504 G",9,"corn"
"60","Uge 2021-39","7340011352549","FULDKORNSMEL COOP 1 KG",6,"flour"
"61","Uge 2021-39","7340011364368","COOP MINERALVAND 2L",55,"water"
"62","Uge 2021-39","7340011464587","X-TRA R<d8>DBEDER I SKIVER 670/430 G",16,"beats"
"63","Uge 2021-39","7340011481782","<d8>ko <c4>M HK Spinat",24,"spinage"
"64","Uge 2021-39","7340011487906","<d8>KO <c4>NGLAMARK KIK<c6>RTER 380/230 G",66,"chickpea"
"65","Uge 2021-39","7340191112582","<d8>ko <c4>M Broccoli 400g",19,"broccoli"
