"","uge.x","vare","X4.x","oms.x","prod_cat.x","intervention.x","oms"
"1","Uge 2021-38","57095370","KILDEV<c6>LD 50CL",29,"water","reference",37
"2","Uge 2021-38","5700380222096","R<f8>dbeder 1,5 kg.",5,"beats","reference",7
"3","Uge 2021-38","5700380268926","<d8>KO <c4>M SPIDSK<c5>L",141,"cale","reference",199
"4","Uge 2021-38","5700380269572","L<f8>g 1 kg 40-60 mm",27,"onion","reference",83
"5","Uge 2021-38","5700380394816","Kart Lammefjord 1,5",15,"potato","reference",52
"6","Uge 2021-38","5700380806210","Knoldselleri",7,"celeriac","reference",16
"7","Uge 2021-38","5700380988244","Hvidk<e5>l 1000-1800 gr",NA,"cale","reference",NA
"8","Uge 2021-38","5700381206774","<d8>ko <c4>M porrer 1 stk",44,"leek","reference",84
"9","Uge 2021-38","5700381232315","<d8>KO <c4>M KART SM<c5>",40,"potato","reference",34
"10","Uge 2021-38","5700381563587","COOP DANSKVAND 2L",39,"water","reference",66
"11","Uge 2021-38","5700381660255","<c4>ngla <f8>ko gr<f8>nk<e5>l",7,"cale","reference",10
"12","Uge 2021-38","5700381715467","Br<f8>dC MINERALV 50cL",722,"bread","reference",553
"13","Uge 2021-38","5700381757511","<c4>ngla <f8>ko Blomk<e5>l",13,"cale","reference",12
"14","Uge 2021-38","5700381768852","SF HINDB<c6>R 170 g.",28,"berries","reference",68
"15","Uge 2021-38","5700381779827","Porrer",39,"leek","reference",82
"16","Uge 2021-38","5700381884897","<d8>KO <c4>NGLAMARK HVEDEMEL DK 2 KG",17,"flour","reference",19
"17","Uge 2021-38","5700382004812","<d8>ko <c4>M Portobello",6,"mushrooms","reference",12
"18","Uge 2021-38","5700382039487","P<e6>rer, store 6stk.DK",62,"pear","reference",109
"19","Uge 2021-38","5700382094080","<c4>ngla <f8>ko datterino",28,"tomato","reference",61
"20","Uge 2021-38","5700382338535","<d8>ko Spinat 200 gr",50,"spinage","reference",88
"21","Uge 2021-38","5700382391622","Spidsk<e5>l",12,"cale","reference",40
