uge;vare;X3;oms;prod_cat;intervention;week;vare_grp
Uge 2021-44;4000339697908;PHILADELPHIA NATUREL;18;;;;
Uge 2021-44;5700380203767;ØKO Chili løse Røde;142;;;;
Uge 2021-44;5700381737605;ØKO Citroner løse;60;;;;
Uge 2021-44;5700381760627;ØKO ÄM KORIANDER AFS;17;;;;
Uge 2021-44;5700382338535;Øko Spinat 200 gr;89;;;;
Uge 2021-44;5700382599486;Ängla øko ingefær;50;;;;
Uge 2021-44;5700382650019;COOP SESAMFRØ 150 G;8;;;;
Uge 2021-44;5700382939183;ØKO ÄM TIMIAN AFSK;14;;;;
Uge 2021-44;5700383118402;Ängla små sprøde gul;263;;;;
Uge 2021-44;5700383270889;Ängla Snackpeber;49;;;;
Uge 2021-44;5700383696054;Øko ÄM Champ i skive;32;;;;
Uge 2021-44;5700383908812;Portobello 300 gr;9;;;;
Uge 2021-44;5700384318719;Hvidløg 200 gr;79;;;;
Uge 2021-44;5700384581724;ØKO PERLEBYG ÂNGLEMARK 500 G;0;;;;
Uge 2021-44;5750006343148;ØKO ÄM bladselleri;56;;;;
Uge 2021-44;5750006345555;ØKO ÄM løg 1 Kg;102;;;;
Uge 2021-44;7340011315179;ØKO SPAGHETTI FK ÄNGLAM;5;;;;
Uge 2021-44;7340011476054;COOP HAKKEDE TOMATER 400 G;40;;;;
Uge 2021-44;7340011487906;ØKO ÄNGLAMARK KIKÆRTER 380/230 G;21;;;;
Uge 2021-44;7340011488064;ØKO ÄNGLAMARK KNUST CHILI 23 G;8;;;;
Uge 2021-44;7340191101029;COOP SPIDSKOMMEN 40 G;13;;;;
Uge 2021-44;8001868007509;PECORINO ROMANO 160G;9;;;;
Uge 2021-44;8015185002161;QUEEN GRØNTSAGS BOUILLON 200 G;13;;;;
